lifebit_state;"ALS"."LIFEBIT"."State"
lifebit_command;"ALS"."LIFEBIT"."Command"
as_hzw_betriebsart_state;"ALS"."BETAR"."STA"."BETAR"
as_hzw_betriebsart_command;"ALS"."BETAR"."CMD"."BETAR"
ls_hzw_betriebsart_state;"ALS"."AB"."LSTE_HZW"."State"
ls_hzw_betriebsart_command;"ALS"."AB"."LSTE_HZW"."Command"
ls_nzo_betriebsart_state;"ALS"."AB"."LSTE_NZO"."State"
ls_nzo_betriebsart_command;"ALS"."AB"."LSTE_NZO"."Command"
as_hzw_re_efls_wim_102_state;"ALS"."RE"."EFLS"[0]."State"
as_hzw_re_efls_wim_102_command;"ALS"."RE"."EFLS"[0]."Command"
NOT_EXISTING_ITEM;"ALS"."NOT_EXISTING_ITEM"
